obs,PCON,GDP,PCON_1
1967,61284,78221,NA
1968,68814,83326,61284
1969,76766,90490,68814
1970,73576,92692,76766
1971,73256,94814,73576
1972,67502,92590,73256
1973,78832,101419,67502
1974,80240,105267,78832
1975,84477,112149,80240
1976,86038,116078,84477
1977,96275,122040,86038
1978,101292,128578,96275
1979,105448,136851,101292
1980,114570,144734,105448
1981,120477,152846,114570
1982,133868,164318,120477
1983,148004,172414,133868
1984,149735,178433,148004
1985,155200,185753,149735
1986,154165,192059,155200
1987,155445,191288,154165
1988,157199,196055,155445
1989,158576,202477,157199
1990,169238,223225,158576
1991,179001,233231,169238
1992,183687,242762,179001
1993,198273,259555,183687
