obs,G,Pg,Y,Pnc,Puc,Ppt,Pd,Pn,Ps,Pop,d_G,d_Pg,d_Y,d_Pnc,d_Puc,d_Ppt,d_Pd,d_Pn,d_Ps,d_Pop,d_G_1
1960,129.7,0.925,6036,1.045,0.836,0.810,0.444,0.331,0.302,180.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,131.3,0.914,6113,1.045,0.869,0.846,0.448,0.335,0.307,183.7,1.6,-0.011,77,0.000,0.033,0.036,0.004,0.004,0.005,3.0,NA
1962,137.1,0.919,6271,1.041,0.948,0.874,0.457,0.338,0.314,186.5,5.8,0.005,158,-0.004,0.079,0.028,0.009,0.003,0.007,2.8,1.6
1963,141.6,0.918,6378,1.035,0.960,0.885,0.463,0.343,0.320,189.2,4.5,-0.001,107,-0.006,0.012,0.011,0.006,0.005,0.006,2.7,5.8
1964,148.8,0.914,6727,1.032,1.001,0.901,0.470,0.347,0.325,191.9,7.2,-0.004,349,-0.003,0.041,0.016,0.007,0.004,0.005,2.7,4.5
1965,155.9,0.949,7027,1.009,0.994,0.919,0.471,0.353,0.332,194.3,7.1,0.035,300,-0.023,-0.007,0.018,0.001,0.006,0.007,2.4,7.2
1966,164.9,0.970,7280,0.991,0.970,0.952,0.475,0.366,0.342,196.6,9.0,0.021,253,-0.018,-0.024,0.033,0.004,0.013,0.010,2.3,7.1
1967,171.0,1.000,7513,1.000,1.000,1.000,0.483,0.375,0.353,198.7,6.1,0.030,233,0.009,0.030,0.048,0.008,0.009,0.011,2.1,9.0
1968,183.4,1.014,7728,1.028,1.028,1.046,0.501,0.390,0.368,200.7,12.4,0.014,215,0.028,0.028,0.046,0.018,0.015,0.015,2.0,6.1
1969,195.8,1.047,7891,1.044,1.031,1.127,0.514,0.409,0.386,202.7,12.4,0.033,163,0.016,0.003,0.081,0.013,0.019,0.018,2.0,12.4
1970,207.4,1.056,8134,1.076,1.043,1.285,0.527,0.427,0.407,205.1,11.6,0.009,243,0.032,0.012,0.158,0.013,0.018,0.021,2.4,12.4
1971,218.3,1.063,8322,1.120,1.102,1.377,0.547,0.442,0.431,207.7,10.9,0.007,188,0.044,0.059,0.092,0.020,0.015,0.024,2.6,11.6
1972,226.8,1.076,8562,1.110,1.105,1.434,0.555,0.458,0.451,209.9,8.5,0.013,240,-0.010,0.003,0.057,0.008,0.016,0.020,2.2,10.9
1973,237.9,1.181,9042,1.111,1.176,1.448,0.566,0.497,0.474,211.9,11.1,0.105,480,0.001,0.071,0.014,0.011,0.039,0.023,2.0,8.5
1974,225.8,1.599,8867,1.175,1.226,1.480,0.604,0.572,0.513,213.9,-12.1,0.418,-175,0.064,0.050,0.032,0.038,0.075,0.039,2.0,11.1
1975,232.4,1.708,8944,1.276,1.464,1.586,0.659,0.615,0.556,216.0,6.6,0.109,77,0.101,0.238,0.106,0.055,0.043,0.043,2.1,-12.1
1976,241.7,1.779,9175,1.357,1.679,1.742,0.695,0.638,0.598,218.0,9.3,0.071,231,0.081,0.215,0.156,0.036,0.023,0.042,2.0,6.6
1977,249.2,1.882,9381,1.429,1.828,1.824,0.727,0.671,0.648,220.2,7.5,0.103,206,0.072,0.149,0.082,0.032,0.033,0.050,2.2,9.3
1978,261.3,1.963,9735,1.538,1.865,1.878,0.769,0.719,0.698,222.6,12.1,0.081,354,0.109,0.037,0.054,0.042,0.048,0.050,2.4,7.5
1979,248.9,2.656,9829,1.660,2.010,2.003,0.821,0.800,0.756,225.1,-12.4,0.693,94,0.122,0.145,0.125,0.052,0.081,0.058,2.5,12.1
1980,226.8,3.691,9722,1.793,2.081,2.516,0.892,0.894,0.839,227.7,-22.1,1.035,-107,0.133,0.071,0.513,0.071,0.094,0.083,2.6,-12.4
1981,225.6,4.109,9769,1.902,2.569,3.120,0.957,0.969,0.926,230.0,-1.2,0.418,47,0.109,0.488,0.604,0.065,0.075,0.087,2.3,-22.1
1982,228.8,3.894,9725,1.976,2.964,3.460,1.000,1.000,1.000,232.2,3.2,-0.215,-44,0.074,0.395,0.340,0.043,0.031,0.074,2.2,-1.2
1983,239.6,3.764,9930,2.026,3.297,3.626,1.041,1.021,1.062,234.3,10.8,-0.130,205,0.050,0.333,0.166,0.041,0.021,0.062,2.1,3.2
1984,244.7,3.707,10421,2.085,3.757,3.852,1.038,1.050,1.117,236.3,5.1,-0.057,491,0.059,0.460,0.226,-0.003,0.029,0.055,2.0,10.8
1985,245.8,3.738,10563,2.152,3.797,4.028,1.045,1.075,1.173,238.5,1.1,0.031,142,0.067,0.040,0.176,0.007,0.025,0.056,2.2,5.1
1986,269.4,2.921,10780,2.240,3.632,4.264,1.053,1.069,1.224,240.7,23.6,-0.817,217,0.088,-0.165,0.236,0.008,-0.006,0.051,2.2,1.1
1987,276.8,3.038,10859,2.321,3.776,4.413,1.085,1.111,1.271,242.8,7.4,0.117,79,0.081,0.144,0.149,0.032,0.042,0.047,2.1,23.6
1988,279.9,3.065,11186,2.368,3.939,4.494,1.105,1.152,1.336,245.0,3.1,0.027,327,0.047,0.163,0.081,0.020,0.041,0.065,2.2,7.4
1989,284.1,3.353,11300,2.414,4.019,4.719,1.129,1.213,1.408,247.3,4.2,0.288,114,0.046,0.080,0.225,0.024,0.061,0.072,2.3,3.1
1990,282.0,3.834,11389,2.451,3.926,5.197,1.144,1.285,1.482,249.9,-2.1,0.481,89,0.037,-0.093,0.478,0.015,0.072,0.074,2.6,4.2
1991,271.8,3.766,11272,2.538,3.942,5.427,1.167,1.332,1.557,252.6,-10.2,-0.068,-117,0.087,0.016,0.230,0.023,0.047,0.075,2.7,-2.1
1992,280.2,3.751,11466,2.528,4.113,5.518,1.184,1.358,1.625,255.4,8.4,-0.015,194,-0.010,0.171,0.091,0.017,0.026,0.068,2.8,-10.2
1993,286.7,3.713,11476,2.663,4.470,6.086,1.200,1.379,1.684,258.1,6.5,-0.038,10,0.135,0.357,0.568,0.016,0.021,0.059,2.7,8.4
1994,290.2,3.732,11636,2.754,4.730,6.268,1.225,1.396,1.734,260.7,3.5,0.019,160,0.091,0.260,0.182,0.025,0.017,0.050,2.6,6.5
1995,297.8,3.789,11934,2.815,5.224,6.410,1.239,1.419,1.786,263.2,7.6,0.057,298,0.061,0.494,0.142,0.014,0.023,0.052,2.5,3.5
